Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
11/25/2020,ID-PA,Papua,39,0,0,39,9898,137,5030,4731,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1,560,110,5411,319036,4340348,13.60,138.69603,-4.66620953,8.99,2280.46,0.00,31.56,1.38%,50.82%,0.39,1.00
11/25/2020,ID-PB,Papua Barat,79,0,14,65,5155,82,4465,608,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1,218,95,1742,102955,1140701,11.08,132.9762624,-2.045160182,69.26,4519.15,0.00,71.89,1.59%,86.61%,1.04,0.00
11/25/2020,ID-RI,Riau,236,5,180,51,19129,426,16569,2134,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,38.85,3149.27,0.82,70.13,2.23%,86.62%,1.71,1.67
11/25/2020,ID-SR,Sulawesi Barat,2,0,217,-215,1379,20,1226,133,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,1.28,883.98,0.00,12.82,1.45%,88.91%,1.00,1.00
11/25/2020,ID-SN,Sulawesi Selatan,37,2,34,1,20124,490,18163,1471,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,3.92,2134.75,0.21,51.98,2.43%,90.26%,0.39,
11/25/2020,ID-ST,Sulawesi Tengah,55,4,12,39,1687,66,982,639,Province,,Sulawesi Tengah,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1,175,175,1842,61841,2955567,47.79,121.2010927,-1.00413668,18.61,570.79,1.35,22.33,3.91%,58.21%,0.68,
11/25/2020,ID-SG,Sulawesi Tenggara,52,1,0,51,6219,98,4500,1621,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,19.73,2359.74,0.38,37.19,1.58%,72.36%,0.80,
11/25/2020,ID-SA,Sulawesi Utara,79,0,28,51,6550,237,5192,1121,Province,,Sulawesi Utara,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4,171,332,1507,13892,2641884,190.17,124.5212396,1.259638212,29.90,2479.29,0.00,89.71,3.62%,79.27%,3.04,0.00
11/25/2020,ID-SB,Sumatera Barat,260,6,232,22,18944,389,15494,3061,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7,179,230,928,42013,5519245,131.37,100.4650624,-0.850253225,47.11,3432.35,1.09,70.48,2.05%,81.79%,4.48,6.00
11/25/2020,ID-SS,Sumatera Selatan,59,0,48,11,9219,492,7363,1364,Province,,Sumatera Selatan,Indonesia,Asia,Sumatera,UTC+07:00,,13,4,241,387,2853,91592,8217551,89.72,104.1694647,-3.216211808,7.18,1121.87,0.00,59.87,5.34%,79.87%,1.26,0.00
11/25/2020,ID-SU,Sumatera Utara,84,3,81,0,15153,600,12532,2021,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,5.65,1018.70,0.20,40.34,3.96%,82.70%,1.04,1.50
11/26/2020,ID-AC,Aceh,24,5,27,-8,8223,328,6579,1316,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,4.57,1567.10,0.95,62.51,3.99%,80.01%,0.62,1.00
11/26/2020,ID-BA,Bali,111,5,50,56,13500,419,12253,828,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,26.33,3201.96,1.19,99.38,3.10%,90.76%,1.17,1.67
11/26/2020,ID-BT,Banten,145,2,73,70,12223,318,8413,3492,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,13.52,1139.95,0.19,29.66,2.60%,68.83%,1.13,1.00
11/26/2020,ID-BE,Bengkulu,30,1,23,6,1665,73,1287,305,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,15.00,832.69,0.50,36.51,4.38%,77.30%,0.63,1.00
11/26/2020,ID-JK,DKI Jakarta,1064,14,1135,-85,131525,2592,120178,8755,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,98.10,12126.43,1.29,238.98,1.97%,91.37%,0.84,0.82
11/26/2020,ID-YO,Daerah Istimewa Yogyakarta,103,1,60,42,5556,137,4200,1219,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,28.37,1530.15,0.28,37.73,2.47%,75.59%,0.69,0.33
11/26/2020,ID-GO,Gorontalo,8,0,0,8,3073,88,2958,27,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,6.78,2602.80,0.00,74.54,2.86%,96.26%,,1.00
11/26/2020,IDN,Indonesia,4917,127,3842,948,516753,16352,433649,66752,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,18.54,1948.65,0.48,61.66,3.16%,83.92%,0.89,1.11
11/26/2020,ID-JA,Jambi,39,0,4,35,1774,36,1232,506,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,11.16,507.82,0.00,10.31,2.03%,69.45%,0.87,1.00
11/26/2020,ID-JB,Jawa Barat,776,4,833,-61,50482,881,40855,8746,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,17.18,1117.81,0.09,19.51,1.75%,80.93%,1.05,0.57
11/26/2020,ID-JT,Jawa Tengah,559,35,274,250,50879,2205,37103,11571,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,15.37,1399.16,0.96,60.64,4.33%,72.92%,0.55,3.89
11/26/2020,ID-JI,Jawa Timur,390,26,303,61,60190,4275,53131,2784,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,9.63,1486.94,0.64,105.61,7.10%,88.27%,0.97,0.76
11/26/2020,ID-KB,Kalimantan Barat,10,0,38,-28,2322,22,1852,448,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2,174,99,2031,147307,5422814,36.81,111.1211776,-0.086474572,1.84,428.19,0.00,4.06,0.95%,79.76%,0.42,1.00
11/26/2020,ID-KS,Kalimantan Selatan,49,3,16,30,13047,521,11670,856,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2,153,144,1864,38744,4023049,103.84,115.4385783,-2.993594979,12.18,3243.06,0.75,129.50,3.99%,89.45%,0.77,3.00
11/26/2020,ID-KT,Kalimantan Tengah,49,2,49,-2,5603,186,4531,886,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1,136,139,1432,153565,2570289,16.74,113.4176536,-1.602484653,19.06,2179.91,0.78,72.37,3.32%,80.87%,0.84,
11/26/2020,ID-KI,Kalimantan Timur,222,8,118,96,18916,545,15613,2758,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,62.50,5325.16,2.25,153.43,2.88%,82.54%,1.17,
11/26/2020,ID-KU,Kalimantan Utara,37,1,12,24,1320,16,921,383,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,57.06,2035.76,1.54,24.68,1.21%,69.77%,0.77,
11/26/2020,ID-BB,Kepulauan Bangka Belitung,17,0,2,15,944,12,783,149,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,12.32,684.17,0.00,8.70,1.27%,82.94%,0.89,1.00
11/26/2020,ID-KR,Kepulauan Riau,18,2,109,-93,5304,132,4008,1164,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,9.33,2749.04,1.04,68.42,2.49%,75.57%,0.64,0.29
11/26/2020,ID-LA,Lampung,102,4,30,68,3340,141,1772,1427,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,11.21,367.21,0.44,15.50,4.22%,53.05%,1.21,0.44
